id,locality,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
10089125,Liège,APARTMENT,PENTHOUSE,residential_sale,385000,3,137,1,0,0,1,None,0,None,None,4,0,AS_NEW
10132512,Schaerbeek,APARTMENT,APARTMENT,residential_sale,569000,2,220,0,0,0,0,None,0,None,None,,0,JUST_RENOVATED
10148296,Uccle,APARTMENT,APARTMENT,residential_sale,265000,1,65,0,0,0,0,None,0,None,,2,0,AS_NEW
10147610,Gent,APARTMENT,APARTMENT,residential_sale,319000,2,84,0,0,0,1,None,1,None,,4,0,GOOD
10147317,Uccle,APARTMENT,PENTHOUSE,residential_sale,3000000,3,220,None,0,1,1,None,1,None,None,3,0,GOOD
10135379,LAEKEN (BRU.),APARTMENT,FLAT_STUDIO,residential_sale,180000,0,40,1,0,0,0,None,0,None,None,2,0,AS_NEW
10135202,Gent,APARTMENT,APARTMENT,residential_sale,299000,2,None,0,0,0,1,None,0,None,None,,0,AS_NEW
10123605,Chaumont-Gistoux,APARTMENT,APARTMENT,residential_sale,399000,1,94,0,0,0,1,None,1,None,None,,0,
10123819,Ixelles,APARTMENT,APARTMENT,residential_sale,429000,2,None,0,0,0,1,None,0,None,None,,0,AS_NEW
10135619,Ixelles,APARTMENT,APARTMENT,residential_sale,575000,2,120,0,0,0,0,None,0,None,None,2,0,AS_NEW
10123598,GISTOUX,APARTMENT,APARTMENT,residential_sale,599000,2,153,0,0,0,1,None,1,None,None,,0,
10135617,Ixelles,APARTMENT,APARTMENT,residential_sale,625000,3,130,0,1,0,1,None,0,None,None,2,0,AS_NEW
10135121,Brussels City,APARTMENT,APARTMENT,residential_sale,1890000,3,280,1,0,0,1,None,1,None,None,2,0,
10077347,Antwerp,APARTMENT,APARTMENT,annuity_monthly_amount,40000,2,80,0,0,0,1,None,0,None,None,2,0,
10056461,Liège,APARTMENT,FLAT_STUDIO,residential_sale,95000,0,35,None,0,0,1,None,0,None,,,0,GOOD
9827853,Herstal,APARTMENT,APARTMENT,residential_sale,110000,1,60,None,0,0,0,None,0,None,None,4,0,GOOD
10120707,Herstal,APARTMENT,APARTMENT,residential_sale,119000,3,89,0,0,0,1,None,1,None,None,4,0,TO_BE_DONE_UP
9903397,Brugge,APARTMENT,KOT,residential_sale,125000,1,23,1,0,0,0,None,0,None,,,0,AS_NEW
9806230,Brugge,APARTMENT,FLAT_STUDIO,residential_sale,127500,0,27,1,1,0,0,None,0,None,None,,0,GOOD
10098304,Waterloo,HOUSE,HOUSE,residential_sale,595000,4,210,0,0,0,1,None,1,None,272,3,0,AS_NEW
10108180,Ekeren,HOUSE,HOUSE,residential_sale,595000,6,224,0,0,0,1,None,1,None,450,3,0,
10113672,Juprelle,HOUSE,HOUSE,residential_sale,595000,5,255,0,0,0,0,None,0,None,650,4,0,AS_NEW
9514774,Huy,HOUSE,HOUSE,residential_sale,595000,8,525,0,0,0,1,None,1,None,0,,0,GOOD
10038719,Middelkerke,HOUSE,HOUSE,residential_sale,595000,3,220,None,1,1,1,None,1,None,606,4,0,GOOD
9996811,Wavre,HOUSE,HOUSE,residential_sale,598000,4,249,0,0,0,1,None,0,None,222,3,0,JUST_RENOVATED
9940339,Kortemark,HOUSE,VILLA,residential_sale,599000,4,446,0,0,1,1,None,1,None,7840,4,0,TO_BE_DONE_UP
10095129,Wavre,HOUSE,VILLA,residential_sale,605000,3,130,0,0,0,1,None,1,None,1471,4,0,
10095131,Louvain-La-Neuve,HOUSE,VILLA,residential_sale,605000,3,130,0,0,0,1,None,1,None,1471,4,0,
9983830,Arlon,HOUSE,MANSION,residential_sale,610000,4,184,0,0,0,1,None,1,None,170,2,0,AS_NEW
9980334,Arlon,HOUSE,HOUSE,residential_sale,610000,4,184,0,0,0,1,None,1,None,170,2,0,AS_NEW
9760376,MONT-SAINT-GUIBERT,HOUSE,HOUSE,residential_sale,615000,7,318,0,0,1,0,None,1,None,785,3,0,TO_BE_DONE_UP
10001369,Dendermonde,HOUSE,HOUSE,residential_sale,619900,4,255,0,0,0,1,None,0,None,1730,4,1,GOOD
9866431,BOUSVAL,HOUSE,HOUSE,residential_sale,625000,6,275,0,0,0,1,None,1,None,2023,4,0,GOOD
10068539,Wortegem-Petegem,HOUSE,VILLA,residential_sale,625000,5,264,0,0,0,1,None,1,None,3688,4,0,TO_BE_DONE_UP
10119174,Bierbeek,HOUSE,HOUSE,residential_sale,639000,4,208,0,0,0,1,None,1,None,781,4,0,AS_NEW
9964106,Aubange Halanzy,HOUSE,VILLA,residential_sale,640000,5,270,0,0,0,1,None,0,None,1668,4,0,JUST_RENOVATED
10100278,Waterloo,HOUSE,VILLA,residential_sale,645000,4,230,1,0,1,1,None,1,None,889,4,0,AS_NEW
10012829,Sint-Pieters-Leeuw,HOUSE,EXCEPTIONAL_PROPERTY,residential_sale,645000,4,251,0,0,0,1,None,0,None,750,4,0,GOOD
10034398,Holsbeek,HOUSE,VILLA,residential_sale,648000,3,500,0,0,0,1,None,1,None,4951,4,0,TO_BE_DONE_UP
10114781,Jette,HOUSE,HOUSE,residential_sale,649000,6,400,0,0,0,1,None,1,None,240,2,0,GOOD
9885252,Rhode-Saint-Genèse,HOUSE,VILLA,residential_sale,649000,5,None,0,0,0,1,None,0,None,1673,4,0,TO_RENOVATE
9633418,COURT-SAINT-ETIENNE,HOUSE,HOUSE,residential_sale,650000,4,218,0,0,1,1,None,1,None,2474,4,0,GOOD
9768067,Rhode-Saint-Genèse,HOUSE,HOUSE,residential_sale,650000,5,305,0,0,0,1,None,0,None,434,2,0,AS_NEW
