,id,locality,postal_code,region,province,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
57,9794354,Ronse,9600,Flanders,East Flanders,APARTMENT,APARTMENT,residential_sale,250000,2,108,NO_INFO,-1,0,0,1,8,1,-1,-1,2,0,NO_INFO
58,9794332,Ronse,9600,Flanders,East Flanders,APARTMENT,APARTMENT,residential_sale,250000,2,108,NO_INFO,-1,0,0,1,23,1,-1,-1,2,0,NO_INFO
59,9781755,Oudenaarde,9700,Flanders,East Flanders,APARTMENT,APARTMENT,residential_sale,250204,2,88,NO_INFO,-1,0,0,1,8,1,-1,-1,2,0,NO_INFO
60,9781754,Oudenaarde,9700,Flanders,East Flanders,APARTMENT,APARTMENT,residential_sale,250204,2,88,NO_INFO,-1,0,0,1,8,1,-1,-1,2,0,NO_INFO
61,9781753,Oudenaarde,9700,Flanders,East Flanders,APARTMENT,APARTMENT,residential_sale,250204,2,88,NO_INFO,-1,0,0,1,8,1,-1,-1,2,0,NO_INFO
62,10118408,Liège,4000,Wallonie,Liège,APARTMENT,APARTMENT,residential_sale,255000,3,-1,HYPER_EQUIPPED,1,-1,0,1,8,-1,-1,-1,-1,0,JUST_RENOVATED
63,9530229,Blankenberge,8370,Flanders,West Flanders,APARTMENT,APARTMENT,residential_sale,256500,2,87,NO_INFO,-1,0,0,-1,-1,-1,-1,-1,2,0,AS_NEW
64,10006525,Liège Jupillesur-Meuse,4020,Wallonie,Liège,HOUSE,HOUSE,residential_sale,219000,3,100,INSTALLED,INSTALLED,0,0,1,14,1,100,845,2,-1,GOOD
65,10097835,Soignies,7060,Wallonie,Hainaut,HOUSE,HOUSE,residential_sale,219000,3,210,NOT_INSTALLED,NOT_INSTALLED,0,0,1,35,1,400,400,2,-1,TO_BE_DONE_UP
66,10107806,Sclayn,5300,Wallonie,Namur,HOUSE,HOUSE,residential_sale,220000,3,180,INSTALLED,INSTALLED,-1,0,-1,-1,1,-1,335,3,-1,NO_INFO
67,9934379,Somme-Leuze Noiseux,5377,Wallonie,Namur,HOUSE,HOUSE,residential_sale,220000,4,141,INSTALLED,INSTALLED,0,0,1,40,1,284,284,4,0,GOOD
68,10109128,Gent,9000,Flanders,East Flanders,HOUSE,HOUSE,residential_sale,220000,3,98,INSTALLED,INSTALLED,0,0,-1,-1,-1,-1,200,2,0,TO_RENOVATE
69,10103239,Gent,9000,Flanders,East Flanders,HOUSE,HOUSE,residential_sale,220000,3,108,INSTALLED,INSTALLED,0,0,-1,-1,-1,-1,80,2,0,TO_RENOVATE
70,10065996,Chaudfontaine,4050,Wallonie,Liège,HOUSE,HOUSE,residential_sale,225000,2,100,NO_INFO,-1,0,0,1,-1,-1,-1,591,4,0,TO_BE_DONE_UP
71,10120331,JEMELLE,5580,Wallonie,Namur,HOUSE,APARTMENT_BLOCK,residential_sale,225000,12,460,NOT_INSTALLED,NOT_INSTALLED,0,0,1,4,1,645,753,3,-1,NO_INFO
72,9977445,Geraardsbergen,9500,Flanders,East Flanders,HOUSE,HOUSE,residential_sale,229000,2,166,NO_INFO,-1,0,0,-1,-1,-1,-1,155,2,0,NO_INFO
73,10114520,Assenede,9960,Flanders,East Flanders,HOUSE,HOUSE,residential_sale,230000,3,135,SEMI_EQUIPPED,SEMI_EQUIPPED,-1,0,-1,-1,1,-1,193,-1,0,TO_BE_DONE_UP
74,10089224,Soignies,7060,Wallonie,Hainaut,HOUSE,HOUSE,residential_sale,235000,3,92,INSTALLED,INSTALLED,0,0,1,-1,-1,-1,0,2,-1,GOOD
75,9994935,Deerlijk,8540,Flanders,West Flanders,HOUSE,HOUSE,residential_sale,235000,4,154,INSTALLED,INSTALLED,0,0,-1,-1,1,-1,320,2,0,GOOD
76,10089065,Izel,6810,Wallonie,Luxembourg,HOUSE,HOUSE,residential_sale,239000,3,151,NO_INFO,-1,0,0,1,-1,-1,-1,1200,-1,0,NO_INFO
