,locality,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
0,Gavere,APARTMENT,APARTMENT,residential_sale,339000.0,2.0,101.0,1.0,0,0,1,9.0,0,,,4.0,0,AS_NEW
1,Waterloo,APARTMENT,APARTMENT,residential_sale,315000.0,2.0,100.0,0.0,0,0,1,3.0,0,,,2.0,0,GOOD
2,Brussels City,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,,,,,0,0,0,,0,,,,0,
3,Deurne,APARTMENT,APARTMENT,residential_sale,215000.0,2.0,85.0,0.0,0,0,0,,0,,,2.0,0,JUST_RENOVATED
4,Sint-Lambrechts-Woluwe,APARTMENT,PENTHOUSE,residential_sale,297000.0,1.0,55.0,0.0,0,0,1,10.0,0,,,2.0,0,AS_NEW
5,Bruxelles,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,,,,,0,0,0,,0,,,,0,
